,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.44270911886923586,0.4356589819937518,0.2581912802805479,0.06701618625436397,0.3649412613205839,R
1,0.5467652809847975,0.014737413094260434,0.22951607346119757,0.4805017858158286,0.07789629976312816,R
2,0.9400004041404448,0.6804304818646107,0.5890378232470127,0.7208746787503236,0.42930220950766645,M
3,0.593289385874316,0.5720692878721966,0.625925194896137,0.9564355862944134,0.6401997820093277,M
4,0.5113469572075894,0.2970966395911361,0.1787054020213466,0.307496224285423,0.5627750858492139,R
5,0.5554893158394593,0.9202458710281127,0.8521245896508033,0.7450233847852368,0.9332962284159969,M
6,0.837585673195339,0.5746549134918417,0.652902317730213,0.47670687930138206,0.8974846706872235,M
7,0.5164168660093312,0.2912857155547876,0.3457313699258604,0.0803560588369223,0.2665090967589552,R
8,0.5063734566911632,0.18869061558015887,0.16974049368939959,0.14228519463077824,0.27037002160895274,R
9,0.5462942076441144,0.7149334718208593,0.977941252517047,0.8059056950716474,0.572525724022866,M
10,0.37266819020913633,0.07260416608509389,0.449757831265081,0.5691984372216388,0.3076452561831439,R
11,0.846838684764091,0.5326230361834536,0.6548681434153159,0.8935520988391386,0.8557429908355246,M
12,0.24869147316791773,0.28874796274899267,0.5023651573342623,0.06304859067206289,0.3503482690654588,R
13,0.1563614335679639,0.40896324443297766,0.05700798425498986,0.3570210858791868,0.2642372293192004,R
14,0.5115125441867675,0.477576871190183,0.8836642837318269,0.5016756175671334,0.7209290898319975,M
15,0.31167445403215965,0.037836195990421595,0.3668520655987687,0.3095527975867101,0.39317643892772725,R
16,0.7989749426631632,0.43155904358814284,0.782324668326053,0.47934398001104966,0.818732132526511,M
17,0.8932289489879249,0.8690113989512993,0.8836171427041886,0.41500363106291865,0.649250745181218,M
18,0.4564462162717374,0.010597698285142577,0.1490175975868162,0.06703113957948743,0.4832820067379586,R
19,0.5691907795381796,0.7015472111917653,0.45975412892943934,0.8948952373460055,0.9427970910329797,M
20,0.7550178897662245,0.9855367932505901,0.658890366497086,0.9768422193246267,0.7735333023245714,M
21,0.7575225160790889,0.4929608587382859,0.8215650640508996,0.6143682337160437,0.5969237669203867,M
22,0.809880261211662,0.4696400246608628,0.7525509406021544,0.45825833432922564,0.830329199944106,M
23,0.06167040380566856,0.41357956858680506,0.3500674872643232,0.2029277853385539,0.2629622742485876,R
24,0.49497489562125196,0.42459619181560515,0.5171878854531194,0.037913062735325576,0.4642993834650045,R
25,0.6088067791941802,0.9190950781645153,0.636282453624065,0.4871320707361044,0.8907967708695788,M
26,0.16630803858987034,0.043910486293305594,0.3378037364897588,0.456899404982973,0.3135893633752421,R
27,0.47539605226599413,0.8431463589730084,0.9794204245319693,0.5120706065142675,0.601472704760023,M
28,0.5533085163691622,0.5215873212428459,0.8765502004766411,0.5988324565897396,0.998189689012978,M
29,0.6192695126125911,0.930255346667892,0.8388009677719013,0.7654080426870444,0.5033683318076685,M
30,0.19404698344546914,0.37619042317825446,0.14172187408799608,0.44414693791610826,0.4797994264783723,R
31,0.5288731225741153,0.4179263920480305,0.4875353391601715,0.9820315688359078,0.7905142863932817,M
32,0.48982402587153373,0.3997794125890016,0.42091597343524195,0.09846761370419192,0.08530352934039584,R
33,0.6345241297510651,0.7057784392266218,0.623558407929322,0.7793181894662204,0.6423092406297642,M
34,0.20077010075628665,0.5452218227197598,0.5593089239442147,0.18022236935113023,0.08145552984414495,R
35,0.8855812776181726,0.8680789044874726,0.6258639917891198,0.9756017253398845,0.5576217125497923,M
36,0.5388053903070531,0.7976464075820173,0.4311403870348493,0.48183826423546955,0.9325308817165403,M
37,0.4931369639929598,0.7377406455573021,0.9576825062426177,0.7938860747230316,0.8670302408972637,M
38,0.11205714176590842,0.42554343815016,0.020907137446785087,0.5500179613655255,0.19111869870117187,R
39,0.8569396220872012,0.9611201056222978,0.5160009526482319,0.5232154636986841,0.42942359463483637,M
40,0.8260771050000917,0.6833991725426147,0.6551989486461369,0.7975391913777052,0.5531039104549121,M
41,0.9269808937560793,0.576446467096039,0.7616344496584404,0.6531337906725341,0.6686805709318224,M
42,0.6931859459789833,0.712073322563862,0.46675109464492115,0.7284409266372753,0.9103800564645825,M
43,0.0656575878180444,0.11956088338213162,0.21669682280970642,0.28225548973433956,0.1462823282938649,R
44,0.20534576295697732,0.19467136799635856,0.07809765232508985,0.11832734075703547,0.44885148821548027,R
45,0.08576407439766076,0.2494532342440832,0.5657533970842508,0.08181030615248092,0.5090063799745363,R
46,0.46622765088141943,0.2193822205926017,0.4220546463716722,0.2973070112174236,0.3754870213713925,R
47,0.5929738162675491,0.6353157367532106,0.6405165145265976,0.7207104211281081,0.5133452750038174,M
48,0.23248398763386557,0.044712161547108095,0.516435715669466,0.4009686484109463,0.4882557359421704,R
49,0.820957811894439,0.9241228691582537,0.5966206425288727,0.4883179037583744,0.7257865403220752,M
50,0.7552760302592558,0.6068610801380858,0.7078083087140108,0.4422277192400684,0.48038807287058505,M
51,0.08453811408873146,0.2157510377086594,0.05763571286172551,0.19347695939024195,0.41777158775601475,R
52,0.11459392412092224,0.49303946053836006,0.48442331753881734,0.08697892879852481,0.24128868338247894,R
53,0.6554643946105725,0.6033770132186943,0.8573780792712427,0.6471105198315867,0.8251743919816623,M
54,0.9316765879205644,0.9735516765048853,0.8080314732067854,0.4340455763234197,0.5335132123961835,M
55,0.4032149272206036,0.4601125237809226,0.15040819424661886,0.3322764630756051,0.4527423106232992,R
56,0.4449152409817411,0.2698445855938936,0.01079195479564486,0.16319643268939754,0.3738389779311862,R

